r_m,Bx_T,By_T,Bz_T,Brho_xy_T_z_probe
2.280124999999999600e-03,1.214453707951661275e-08,1.529169924481851149e-11,1.668499992617201912e-05,1.214454670672477984e-08
2.283749999999999756e-03,1.224260451650815979e-08,1.539942548288057409e-11,1.672922865673890372e-05,1.224261420162912753e-08
2.287374999999999912e-03,1.234186072785793677e-08,1.550845294405373493e-11,1.677381550400455930e-05,1.234187047160821398e-08
2.290999999999999634e-03,1.244232573301964825e-08,1.561880330374598185e-11,1.681876482380019605e-05,1.244233553612743346e-08
2.294624999999999790e-03,1.254401998425370494e-08,1.573049870200760665e-11,1.686408104558559685e-05,1.254402984745913950e-08
2.298249999999999946e-03,1.264696437813410512e-08,1.584356175576179743e-11,1.690976867404772263e-05,1.264697430218951972e-08
2.301874999999999668e-03,1.275118026742038388e-08,1.595801557141928837e-11,1.695583229074170309e-05,1.275119025309056987e-08
2.305499999999999824e-03,1.285668947330772291e-08,1.607388375788534830e-11,1.700227655577613080e-05,1.285669952137019698e-08
2.309124999999999546e-03,1.296351429806928286e-08,1.619119043998579451e-11,1.704910620954374595e-05,1.296352440931456663e-08
2.312749999999999702e-03,1.307167753810549531e-08,1.630996027231180221e-11,1.709632607449902654e-05,1.307168771333739491e-08
2.316374999999999858e-03,1.318120249741555763e-08,1.643021845351382139e-11,1.714394105698424227e-05,1.318121273745145821e-08
2.319999999999999580e-03,1.329211300150708383e-08,1.655199074104911501e-11,1.719195614910552756e-05,1.329212330717824567e-08
2.323624999999999736e-03,1.340443341176046481e-08,1.667530346641026392e-11,1.724037643066064714e-05,1.340444378391233266e-08
2.327249999999999892e-03,1.351818864026519635e-08,1.680018355084259376e-11,1.728920707112004015e-05,1.351819907975771544e-08
2.330874999999999614e-03,1.363340416514654656e-08,1.692665852157681244e-11,1.733845333166303653e-05,1.363341467285448189e-08
2.334499999999999770e-03,1.375010604640111476e-08,1.705475652859475603e-11,1.738812056727111256e-05,1.375011662321439192e-08
2.338124999999999926e-03,1.386832094226126818e-08,1.718450636194531943e-11,1.743821422887973066e-05,1.386833158908530582e-08
2.341749999999999648e-03,1.398807612610878841e-08,1.731593746963287372e-11,1.748873986559128747e-05,1.398808684386485729e-08
2.345374999999999804e-03,1.410939950395959690e-08,1.744907997610434245e-11,1.753970312695091188e-05,1.410941029358517555e-08
2.348999999999999526e-03,1.423231963254155227e-08,1.758396470135208489e-11,1.759110976528693556e-05,1.423233049499070418e-08
2.352624999999999682e-03,1.435686573798942866e-08,1.772062318066148896e-11,1.764296563811914659e-05,1.435687667423317620e-08
2.356249999999999838e-03,1.448306773518094085e-08,1.785908768502368203e-11,1.769527671063613383e-05,1.448307874620766228e-08
2.359874999999999560e-03,1.461095624774005428e-08,1.799939124224519309e-11,1.774804905824474427e-05,1.461096733455588908e-08
2.363499999999999716e-03,1.474056262873431621e-08,1.814156765877649946e-11,1.780128886919401490e-05,1.474057379236357371e-08
2.367124999999999872e-03,1.487191898209390026e-08,1.828565154229315927e-11,1.785500244727603218e-05,1.487193022357949309e-08
2.370749999999999594e-03,1.500505818478241424e-08,1.843167832505518191e-11,1.790919621460660563e-05,1.500506950518629176e-08
2.374374999999999750e-03,1.514001390974976418e-08,1.857968428807835384e-11,1.796387671448849331e-05,1.514002531015336909e-08
2.377999999999999906e-03,1.527682064969948031e-08,1.872970658615037427e-11,1.801905061436001165e-05,1.527683213120420689e-08
2.381624999999999628e-03,1.541551374170413637e-08,1.888178327372723704e-11,1.807472470883233288e-05,1.541552530543181691e-08
2.385249999999999784e-03,1.555612939270450392e-08,1.903595333173879386e-11,1.813090592281825544e-05,1.555614103979789174e-08
2.388874999999999939e-03,1.569870470592897982e-08,1.919225669535339143e-11,1.818760131475637718e-05,1.569871643755226877e-08
2.392499999999999662e-03,1.584327770827260601e-08,1.935073428272998134e-11,1.824481807993319932e-05,1.584328952561193999e-08
2.396124999999999818e-03,1.598988737867601843e-08,1.951142802480256421e-11,1.830256355390792459e-05,1.598989928294003406e-08
2.399749999999999540e-03,1.613857367754715625e-08,1.967438089614488006e-11,1.836084521604250427e-05,1.613858566996753869e-08
2.403374999999999696e-03,1.628937757727061440e-08,1.983963694694875521e-11,1.841967069314184022e-05,1.628938965910266648e-08
2.406999999999999851e-03,1.644234109385106735e-08,2.000724133618050944e-11,1.847904776320753340e-05,1.644235326637429520e-08
2.410624999999999574e-03,1.659750731974092761e-08,2.017724036594707282e-11,1.853898435930990182e-05,1.659751958425964285e-08
2.414249999999999730e-03,1.675492045790319006e-08,2.034968151713810292e-11,1.859948857358234057e-05,1.675493281574714840e-08
2.417874999999999885e-03,1.691462585716418508e-08,2.052461348639080585e-11,1.866056866134305198e-05,1.691463830968921495e-08
2.421499999999999608e-03,1.707667004891329927e-08,2.070208622443943825e-11,1.872223304534856040e-05,1.707668259750197019e-08
2.425124999999999763e-03,1.724110078520980654e-08,2.088215097590235872e-11,1.878449032018449387e-05,1.724111343127211073e-08
2.428749999999999919e-03,1.740796707835914253e-08,2.106486032058300069e-11,1.884734925679858595e-05,1.740797982333320629e-08
2.432374999999999642e-03,1.757731924202624279e-08,2.125026821633489198e-11,1.891081880718174912e-05,1.757733208737905438e-08
2.435999999999999797e-03,1.774920893395431599e-08,2.143843004357567511e-11,1.897490810920258306e-05,1.774922188118246683e-08
2.439624999999999520e-03,1.792368920036325711e-08,2.162940265151049301e-11,1.903962649160177568e-05,1.792370225099372593e-08
2.443249999999999676e-03,1.810081452210468781e-08,2.182324440615331330e-11,1.910498347915258360e-05,1.810082767769563471e-08
2.446874999999999831e-03,1.828064086265483986e-08,2.202001524021458845e-11,1.917098879799377869e-05,1.828065412479644017e-08
2.450499999999999554e-03,1.846322571803110677e-08,2.221977670495456526e-11,1.923765238114231806e-05,1.846323908834639141e-08
2.454124999999999709e-03,1.864862816872231021e-08,2.242259202407780796e-11,1.930498437419290338e-05,1.864864164886805579e-08
2.457749999999999865e-03,1.883690893372762536e-08,2.262852614977518551e-11,1.937299514121182251e-05,1.883692252539526071e-08
2.461374999999999588e-03,1.902813042680483930e-08,2.283764582100378963e-11,1.944169527083314724e-05,1.902814413172137858e-08
2.464999999999999743e-03,1.922235681503301130e-08,2.305001962411071112e-11,1.951109558256601846e-05,1.922237063496203335e-08
2.468624999999999899e-03,1.941965407980150521e-08,2.326571805591842158e-11,1.958120713332067923e-05,1.941966801654415280e-08
2.472249999999999621e-03,1.962009008034309525e-08,2.348481358937490626e-11,1.965204122416395560e-05,1.962010413573910740e-08
2.475874999999999777e-03,1.982373461993478224e-08,2.370738074190251243e-11,1.972360940731227253e-05,1.982374879586357286e-08
2.479499999999999933e-03,2.003065951489824230e-08,2.393349614656408435e-11,1.979592349337342639e-05,2.003067381328000199e-08
2.483124999999999655e-03,2.024093866653812658e-08,2.416323862619116427e-11,1.986899555884687543e-05,2.024095308933497739e-08
2.486749999999999811e-03,2.045464813616496059e-08,2.439668927061288960e-11,1.994283795389448439e-05,2.045466268538213059e-08
2.490374999999999533e-03,2.067186622335705440e-08,2.463393151713449819e-11,2.001746331039242304e-05,2.067188090104410857e-08
2.493999999999999689e-03,2.089267354762611559e-08,2.487505123442831874e-11,2.009288455027744607e-05,2.089268835587823292e-08
2.497624999999999845e-03,2.111715313365904844e-08,2.512013681001199481e-11,2.016911489419961578e-05,2.111716807461832562e-08
2.501249999999999567e-03,2.134539050032019231e-08,2.536927924147279004e-11,2.024616787049572173e-05,2.134540557617701354e-08
2.504874999999999723e-03,2.157747375360811540e-08,2.562257223165197850e-11,2.032405732449711912e-05,2.157748896660255195e-08
2.508499999999999879e-03,2.181349368377262392e-08,2.588011228796264052e-11,2.040279742818719186e-05,2.181350903619589991e-08
2.512124999999999601e-03,2.205354386681086553e-08,2.614199882607518537e-11,2.048240269022426975e-05,2.205355936100687003e-08
2.515749999999999757e-03,2.229772077057345922e-08,2.640833427817108540e-11,2.056288796634648969e-05,2.229773640894031123e-08
2.519374999999999913e-03,2.254612386572650947e-08,2.667922420601869850e-11,2.064426847017632435e-05,2.254613965071818587e-08
2.522999999999999635e-03,2.279885574182968634e-08,2.695477741910794293e-11,2.072655978444282683e-05,2.279887167595769937e-08
2.526624999999999791e-03,2.305602222880776780e-08,2.723510609811712046e-11,2.080977787264158129e-05,2.305603831464291541e-08
2.530249999999999513e-03,2.331773252410859570e-08,2.752032592398214678e-11,2.089393909115223427e-05,2.331774876428277467e-08
2.533874999999999669e-03,2.358409932586070816e-08,2.781055621287644597e-11,2.097906020183598210e-05,2.358411572306878692e-08
2.537499999999999825e-03,2.385523897236180887e-08,2.810592005740700403e-11,2.106515838513509122e-05,2.385525552936358619e-08
2.541124999999999547e-03,2.413127158825220562e-08,2.840654447436535052e-11,2.115225125369898853e-05,2.413128830787442896e-08
2.544749999999999703e-03,2.441232123774856623e-08,2.871256055938326232e-11,2.124035686656262044e-05,2.441233812288703280e-08
2.548374999999999859e-03,2.469851608533833741e-08,2.902410364887941824e-11,2.132949374390335253e-05,2.469853313896007788e-08
2.551999999999999581e-03,2.498998856436147630e-08,2.934131348968157245e-11,2.141968088240540181e-05,2.499000578950702464e-08
2.555624999999999737e-03,2.528687555393402393e-08,2.966433441676366046e-11,2.151093777126172223e-05,2.528689295371976984e-08
2.559249999999999893e-03,2.558931856469755341e-08,2.999331553954111615e-11,2.160328440884520218e-05,2.558933614231818755e-08
2.562874999999999615e-03,2.589746393391252662e-08,3.032841093720727919e-11,2.169674132008290939e-05,2.589748169264359487e-08
2.566499999999999771e-03,2.621146303044712962e-08,3.066977986361858823e-11,2.179132957456927049e-05,2.621148097364766356e-08
2.570124999999999927e-03,2.653147247025060929e-08,3.101758696228055397e-11,2.188707080545560031e-05,2.653149060136589558e-08
2.573749999999999649e-03,2.685765434294254086e-08,3.137200249200389043e-11,2.198398722915674352e-05,2.685767266550697667e-08
2.577374999999999805e-03,2.719017645019072613e-08,3.173320256385949395e-11,2.208210166591706170e-05,2.719019496783080030e-08
2.580999999999999527e-03,2.752921255659844155e-08,3.210136939007492461e-11,2.218143756128070261e-05,2.752923127303583157e-08
2.584624999999999683e-03,2.787494265387375187e-08,3.247669154559502929e-11,2.228201900851512710e-05,2.787496157292856310e-08
2.588249999999999839e-03,2.822755323910603505e-08,3.285936424303353323e-11,2.238387077203725205e-05,2.822757236470015907e-08
2.591874999999999561e-03,2.858723760803673078e-08,3.324958962183427607e-11,2.248701831189840809e-05,2.858725694419734935e-08
2.595499999999999717e-03,2.895419616427372398e-08,3.364757705248449211e-11,2.259148780938398604e-05,2.895421571513697177e-08
